,place,date,high temp,low temp,precipitation
0,"Arlington, VA",2024-01-01,37.24,23.34,0.0
1,"Arlington, VA",2024-01-02,37.38,23.4,0.0
2,"Arlington, VA",2024-01-03,36.54,23.56,0.0
3,"Arlington, VA",2024-01-04,36.45,23.94,0.0
4,"Arlington, VA",2024-01-05,35.29,24.76,0.0
5,"Arlington, VA",2024-01-06,37.6,25.16,0.0
6,"Arlington, VA",2024-01-07,38.53,24.6,0.0
7,"Arlington, VA",2024-01-08,39.52,27.95,0.0
8,"Arlington, VA",2024-01-09,41.49,25.59,0.0
9,"Arlington, VA",2024-01-10,40.73,25.34,0.0
10,"Arlington, VA",2024-01-11,39.76,26.56,0.0
11,"Arlington, VA",2024-01-12,45.1,29.28,0.0
12,"Arlington, VA",2024-01-13,38.8,28.36,0.0
13,"Arlington, VA",2024-01-14,42.44,26.82,0.0
14,"Arlington, VA",2024-01-15,41.31,27.75,0.0
15,"Arlington, VA",2024-01-16,42.69,28.62,0.0
16,"Arlington, VA",2024-01-17,41.11,27.68,0.0
17,"Arlington, VA",2024-01-18,40.14,25.54,0.0
18,"Arlington, VA",2024-01-19,38.3,25.12,0.0
19,"Arlington, VA",2024-01-20,36.57,25.43,0.0
20,"Arlington, VA",2024-01-21,31.17,21.18,0.0
21,"Arlington, VA",2024-01-22,29.34,20.61,0.0
22,"Arlington, VA",2024-01-23,28.67,18.93,0.0
23,"Arlington, VA",2024-01-24,28.96,19.2,0.0
24,"Arlington, VA",2024-01-25,29.3,19.58,0.0
25,"Arlington, VA",2024-01-26,30.63,20.82,0.0
26,"Arlington, VA",2024-01-27,33.37,20.91,0.0
27,"Arlington, VA",2024-01-28,33.48,21.61,0.0
28,"Arlington, VA",2024-01-29,35.02,22.26,0.57
29,"Arlington, VA",2024-01-30,38.66,22.59,0.0
30,"Arlington, VA",2024-01-31,35.49,26.35,1.14
31,"Arlington, VA",2024-02-01,33.93,25.99,1.52
32,"Arlington, VA",2024-02-02,37.6,23.09,0.0
33,"Arlington, VA",2024-02-03,33.53,25.66,0.0
34,"Arlington, VA",2024-02-04,33.04,24.58,0.0
35,"Arlington, VA",2024-02-05,35.11,20.3,0.0
36,"Arlington, VA",2024-02-06,35.46,23.97,0.0
37,"Arlington, VA",2024-02-07,35.6,24.03,0.0
38,"Arlington, VA",2024-02-08,41.36,24.19,0.0
39,"Arlington, VA",2024-02-09,41.05,26.71,0.0
40,"Arlington, VA",2024-02-10,43.57,26.69,0.0
41,"Arlington, VA",2024-02-11,44.53,29.88,0.0
42,"Arlington, VA",2024-02-12,52.99,32.27,0.0
43,"Arlington, VA",2024-02-13,56.82,41.67,0.0
44,"Arlington, VA",2024-02-14,44.13,30.25,0.0
